COUNTRY_CODE,DATE,LOCAL_PRICE,DOLLAR_PRICE,DOLLAR_PPP
VNM,2019-07-31,65000.0,2.7979854504757,11324.041811847
VNM,2019-01-31,65000.0,2.8018449071081,11648.745519713
VNM,2018-07-31,65000.0,2.8212417804206,11796.733212341
VNM,2018-01-31,65000.0,2.8619862184356,12310.606060606
VNM,2017-07-31,60000.0,2.6393929396239,11320.754716981
VNM,2017-01-31,60000.0,2.6581605528974,11857.707509881
VNM,2016-07-31,60000.0,2.6905829596413,11904.761904762
VNM,2016-01-31,60000.0,2.6705240903527,12170.385395538
VNM,2015-07-31,60000.0,2.7510316368638,12526.096033403
VNM,2015-01-31,60000.0,2.8063610851263,12526.096033403
VNM,2014-07-31,60000.0,2.8261893546868,12513.034410845
ARG,2019-07-31,120.0,2.870504371539,20.905923344948
ARG,2019-01-31,75.0,2.0024028834601,13.440860215054
ARG,2018-07-31,75.0,2.7051397655545,13.611615245009
ARG,2018-01-31,75.0,3.960396039604,14.204545454545
ARG,2017-07-31,70.0,4.1255341093267,13.207547169811
ARG,2017-01-31,55.0,3.4683903515687,10.869565217391
ARG,2016-07-31,50.0,3.3478406427854,9.9206349206349
ARG,2016-01-31,33.0,2.3897025544472,6.6937119675456
ARG,2015-07-31,28.0,3.0651340996169,5.8455114822547
ARG,2015-01-31,28.0,3.2520325203252,5.8455114822547
ARG,2014-07-31,21.0,2.5707727620505,4.3795620437956
ARG,2014-01-31,21.0,3.0341340075853,4.541358803388
ARG,2013-07-31,21.0,3.8799076212471,4.6086320409656
ARG,2013-01-31,19.0,3.8179443383904,4.3504185846829
ARG,2012-07-31,19.0,4.1609635915686,4.3905257076834
ARG,2012-01-31,20.0,4.6366060044048,4.765058777
ARG,2011-07-31,20.0,4.8396854204477,4.920049200492
ARG,2010-07-31,14.0,3.5589450270099,3.75
ARG,2010-01-31,7.0,1.8428326971173,1.9553072625698
ARG,2009-07-31,11.5,3.0173827484421,3.2212885154062
ARG,2008-06-30,11.0,3.6429872495446,3.0812324929972
ARG,2007-06-30,8.25,2.6686074721009,2.4193548387097
ARG,2007-01-31,8.25,2.6709834075273,2.5621118012422
ARG,2006-05-31,7.0,2.2902012105349,2.258064516129
ARG,2006-01-31,4.75,1.550362295189,1.5079365079365
ARG,2005-06-30,4.75,1.6396272005523,1.5522875816993
ARG,2004-05-31,4.36,1.48,1.5034482758621
ARG,2003-04-30,4.1,1.4,1.5129151291513
ARG,2002-04-30,2.5,0.78,1.004016064257
ARG,2001-04-30,2.5,2.5,0.98425196850394
ARG,2000-04-30,2.5,2.5,0.99601593625498
AUS,2019-07-31,6.15,4.260105,1.0714285714286
AUS,2019-01-31,6.1,4.352045,1.0931899641577
AUS,2018-07-31,6.05,4.5154175,1.0980036297641
AUS,2018-01-31,5.9,4.706135,1.1174242424242
AUS,2017-07-31,5.9,4.527955,1.1132075471698
AUS,2017-01-31,5.8,4.27518,1.1462450592885
AUS,2016-07-31,5.75,4.3047375,1.140873015873
AUS,2016-01-31,5.3,3.743655,1.0750507099391
AUS,2015-07-31,5.3,3.922265,1.1064718162839
AUS,2015-01-31,5.3,4.318705,1.1064718162839
AUS,2014-07-31,5.1,4.814145,1.0636079249218
AUS,2014-01-31,5.05,4.4735425,1.0920886646243
AUS,2013-07-31,5.035,4.61986425,1.1049743964887
AUS,2013-01-31,4.7,4.900455,1.076156176211
AUS,2012-07-31,4.56,4.680156,1.053726169844
AUS,2012-01-31,4.8,4.93656,1.14361410648
AUS,2011-07-31,4.56,4.943724,1.1217712177122
AUS,2010-07-31,4.35,3.8369175,1.1651785714286
AUS,2010-01-31,4.35,3.9778702391294,1.2150837988827
AUS,2009-07-31,4.34,3.3724454114539,1.2156862745098
AUS,2008-06-30,3.45,3.3625730994152,0.96638655462185
AUS,2007-06-30,3.45,2.9487179487179,1.0117302052786
AUS,2007-01-31,3.45,2.7232578056857,1.0714285714286
AUS,2006-05-31,3.25,2.4389694791112,1.0483870967742
AUS,2006-01-31,3.25,2.4421400661256,1.031746031746
AUS,2005-06-30,3.25,2.4971187091817,1.062091503268
AUS,2004-05-31,3.25,2.27,1.1206896551724
AUS,2003-04-30,3.0,1.8,1.1070110701107
AUS,2002-04-30,3.0,1.62,1.2048192771084
AUS,2001-04-30,3.0,1.52,1.1811023622047
AUS,2000-04-30,2.59,1.54,1.0318725099602
BRA,2019-07-31,17.5,4.5964331678617,3.0487804878049
BRA,2019-01-31,16.9,4.5455156739601,3.0286738351254
BRA,2018-07-31,16.9,4.4029335521774,3.0671506352087
BRA,2018-01-31,16.5,5.1116825180458,3.125
BRA,2017-07-31,16.5,5.1015675725814,3.1132075471698
BRA,2017-01-31,16.5,5.1179453775648,3.2608695652174
BRA,2016-07-31,15.5,4.7818106094495,3.0753968253968
BRA,2016-01-31,13.5,3.3542039355993,2.7383367139959
BRA,2015-07-31,13.5,4.2825193902961,2.8183716075157
BRA,2015-01-31,13.5,5.2068267283772,2.8183716075157
BRA,2014-07-31,13.0,5.8551964868821,2.711157455683
BRA,2014-01-31,12.4,5.2474556187977,2.6815642458101
BRA,2013-07-31,12.0,5.2848303349261,2.6335040234089
BRA,2013-01-31,11.25,5.6437655203552,2.5759057409307
BRA,2012-07-31,10.08,4.9359743407683,2.3292894280763
BRA,2012-01-31,10.25,5.6786703601108,2.4420926232125
BRA,2011-07-31,9.5,6.1624286455631,2.3370233702337
BRA,2010-07-31,8.71,4.9071804839573,2.3330357142857
BRA,2010-01-31,8.2,4.7583125398944,2.2905027932961
BRA,2009-07-31,8.03,4.0208302037955,2.249299719888
BRA,2008-06-30,7.5,4.7330556607346,2.1008403361345
BRA,2007-06-30,6.9,3.6069001568217,2.0234604105572
BRA,2007-01-31,6.4,2.9997656433091,1.9875776397516
BRA,2006-05-31,6.4,2.7771750922109,2.0645161290323
BRA,2006-01-31,6.2,2.7415432235242,1.968253968254
BRA,2005-06-30,5.9,2.3937033430704,1.9281045751634
BRA,2004-05-31,5.4,1.7,1.8620689655172
BRA,2003-04-30,4.55,1.44,1.6789667896679
BRA,2002-04-30,3.6,1.55,1.4457831325301
BRA,2001-04-30,3.6,1.64,1.4173228346457
BRA,2000-04-30,2.95,1.65,1.1752988047809
GBR,2019-07-31,3.29,4.101314,0.57317073170732
GBR,2019-01-31,3.19,4.072992,0.57168458781362
GBR,2018-07-31,3.19,4.231535,0.57894736842105
GBR,2018-01-31,3.19,4.413046,0.60416666666667
GBR,2017-07-31,3.19,4.1114315,0.60188679245283
GBR,2017-01-31,3.09,3.728394,0.61067193675889
GBR,2016-07-31,2.99,3.940222,0.59325396825397
GBR,2016-01-31,2.89,4.2218565,0.58620689655172
GBR,2015-07-31,2.89,4.512446,0.60334029227557
GBR,2015-01-31,2.89,4.368235,0.60334029227557
GBR,2014-07-31,2.89,4.925138,0.60271115745568
GBR,2014-01-31,2.79,4.6267965,0.60335195530726
GBR,2013-07-31,2.69,4.0200705,0.59034381858083
GBR,2013-01-31,2.69,4.2481825,0.61592768383142
GBR,2012-07-31,2.69,4.1623715,0.62160600808781
GBR,2012-01-31,2.49,3.823395,0.5932498177365
GBR,2011-07-31,2.39,3.891637,0.58794587945879
GBR,2010-07-31,2.29,3.483548,0.61339285714286
GBR,2010-01-31,2.29,3.671328,0.63966480446927
GBR,2009-07-31,2.29,3.688274,0.64145658263305
GBR,2008-06-30,2.29,4.5704965,0.64145658263305
GBR,2007-06-30,1.99,4.0071635,0.58357771260997
GBR,2007-01-31,1.94,3.833731,0.60248447204969
GBR,2006-05-31,1.94,3.647976,0.6258064516129
GBR,2006-01-31,1.88,3.316132,0.5968253968254
GBR,2005-06-30,1.88,3.4404,0.61437908496732
GBR,2004-05-31,1.88,3.37,0.64827586206897
GBR,2003-04-30,1.99,3.08,0.73431734317343
GBR,2002-04-30,1.99,2.88,0.79919678714859
GBR,2001-04-30,1.99,2.85,0.78346456692913
GBR,2000-04-30,1.9,3.0,0.75697211155378
CAN,2019-07-31,6.77,5.1559346559537,1.1794425087108
CAN,2019-01-31,6.77,5.0848730659456,1.2132616487455
CAN,2018-07-31,6.65,5.0672457804701,1.2068965517241
CAN,2018-01-31,6.55,5.2572437595313,1.2405303030303
CAN,2017-07-31,5.97,4.6556967948218,1.1264150943396
CAN,2017-01-31,5.98,4.5098039215686,1.1818181818182
CAN,2016-07-31,6.0,4.6047582501919,1.1904761904762
CAN,2016-01-31,5.84,4.1441952881067,1.184584178499
CAN,2015-07-31,5.85,4.5359385903699,1.2212943632568
CAN,2015-01-31,5.7,4.6396158072525,1.1899791231733
CAN,2014-07-31,5.64,5.2511521809972,1.1762252346194
CAN,2014-01-31,5.54,5.0131209845263,1.19805370337
CAN,2013-07-31,5.53,5.2604042806183,1.2136064374543
CAN,2013-01-31,5.41,5.394356366537,1.2387244496387
CAN,2012-07-31,5.12,5.0223159546814,1.1831311380705
CAN,2012-01-31,4.73,4.6329399089084,1.1269364007605
CAN,2011-07-31,4.73,5.0007929375694,1.1635916359164
CAN,2010-07-31,4.17,4.0005756223917,1.1169642857143
CAN,2010-01-31,4.12,3.9737654320988,1.1508379888268
CAN,2009-07-31,3.89,3.3509928069949,1.0896358543417
CAN,2008-06-30,4.09,4.0755318618903,1.1456582633053
CAN,2007-06-30,3.88,3.683136361479,1.1378299120235
CAN,2007-01-31,3.63,3.0897561390816,1.1273291925466
CAN,2006-05-31,3.52,3.1415948949083,1.1354838709677
CAN,2006-01-31,3.52,3.0075187969925,1.1174603174603
CAN,2005-06-30,3.28,2.6252601248599,1.0718954248366
